Stock,Model,Type,Score,Profit%,Sharpe,Profit Achieved,Sharpe Achieved
SPY,Meta-Labeling,,,272.45,6.74,1.00,1.00
SPY,Baseline,,,-4.14,-0.10,-0.02,-0.01
TLT,Meta-Labeling,,,171.48,7.70,1.00,1.00
TLT,Baseline,,,-7.39,-0.49,-0.04,-0.06
USO,Meta-Labeling,,,1565.81,7.58,1.00,1.00
USO,Baseline,,,-2.64,0.15,0.00,0.02
SPY,Clas,DTC,0.25,-23.83,-0.94,-0.09,-0.14
TLT,Clas,DTC,0.33,-0.20,0.02,0.00,0.00
USO,Clas,GB,0.35,-23.24,-0.41,-0.01,-0.05
SPY,Clas,CNN,0.26,-27.06,-1.27,-0.10,-0.19
SPY,Clas,LSTM,0.37,4.45,0.31,0.02,0.05
TLT,Clas,CNN,0.38,12.44,0.84,0.07,0.11
TLT,Clas,LSTM,0.33,-12.20,-0.63,-0.07,-0.08
USO,Clas,CNN,0.29,-59.81,-2.25,-0.04,-0.30
USO,Clas,LSTM,0.30,-59.11,-1.43,-0.04,-0.19
SPY,Reg,Linear,145.86,3.31,0.25,0.01,0.04
TLT,Reg,Ridge,14.80,13.48,0.94,0.08,0.12
USO,Reg,GBR,2072.17,-27.92,-0.47,-0.02,-0.06
SPY,Reg,CNN,693.14,18.69,0.96,0.07,0.14
SPY,Reg,LSTM,3697.49,-29.79,-1.48,-0.11,-0.22
TLT,Reg,CNN,19.88,-4.20,-0.22,-0.02,-0.03
TLT,Reg,LSTM,33.39,3.44,0.31,0.02,0.04
USO,Reg,CNN,184.85,17.32,0.54,0.01,0.07
USO,Reg,LSTM,1106.82,8.45,0.40,0.01,0.05
SPY,Reg,ARIMA,168.31,9.30,0.51,0.03,0.08
TLT,Reg,ARIMA,16.67,-4.60,-0.22,-0.03,-0.03
USO,Reg,ARIMA,32.35,124.56,2.23,0.08,0.29
SPY,Reg,Prophet,613.06,0.00,0.00,0.00,0.00
TLT,Reg,Prophet,543.21,0.00,0.00,0.00,0.00
USO,Reg,Prophet,4572.46,0.00,0.00,0.00,0.00
SPY,RL,A2C,,30.24,1.56,0.11,0.23
TLT,RL,A2C,,26.12,2.20,0.15,0.29
USO,RL,A2C,,31.03,0.97,0.02,0.13
