Date,Open,High,Low,Close,Volume,GDP,PAYEMS,DTB1YR,DTB6,DTB3,DGS3MO,DGS1MO,CPIAUCSL,BOGMBASE,TEDRATE
2008-01-02,619.0399780273438,630.47998046875,617.6799926757812,627.760009765625,554875,14080.8,138495.0,1.37,3.34,3.1,3.18,2.57,211.16,3201482.0,0.19
2008-01-03,629.0399780273438,632.719970703125,622.3200073242188,626.9600219726562,626013,14080.8,138495.0,1.37,3.37,3.29,3.36,2.76,211.16,3201482.0,0.19
2008-01-04,621.5999755859375,622.47998046875,613.6799926757812,618.47998046875,518175,14080.8,138495.0,1.37,3.21,3.18,3.26,3.09,211.16,3201482.0,0.19
2008-01-07,616.5599975585938,616.5599975585938,597.3599853515625,604.0,549188,14080.8,138495.0,1.37,3.18,3.16,3.24,3.19,211.16,3201482.0,0.19
2008-01-08,613.6799926757812,616.5599975585938,606.1599731445312,608.47998046875,325600,14080.8,138495.0,1.37,3.12,3.12,3.2,3.22,211.16,3201482.0,0.19
2008-01-09,605.2000122070312,618.1599731445312,602.0,602.0,617450,14080.8,138495.0,1.37,3.18,3.19,3.27,3.27,211.16,3201482.0,0.19
2008-01-10,592.9600219726562,597.280029296875,588.0800170898438,592.1599731445312,550363,14080.8,138495.0,1.37,3.16,3.17,3.25,3.31,211.16,3201482.0,0.19
2008-01-11,586.9600219726562,589.9199829101562,582.0,584.719970703125,396738,14080.8,138495.0,1.37,3.12,3.14,3.22,3.34,211.16,3201482.0,0.19
2008-01-14,592.5599975585938,595.760009765625,587.2000122070312,594.0,279813,14080.8,138495.0,1.37,3.11,3.16,3.24,3.37,211.16,3201482.0,0.19
2008-01-15,584.3200073242188,585.3599853515625,576.0800170898438,582.239990234375,613575,14080.8,138495.0,1.37,2.98,3.02,3.09,3.23,211.16,3201482.0,0.19
2008-01-16,576.6400146484375,578.4000244140625,563.9199829101562,574.7999877929688,518863,14080.8,138495.0,1.37,2.97,3.11,3.19,3.2,211.16,3201482.0,0.19
2008-01-17,578.0800170898438,580.47998046875,564.47998046875,568.239990234375,516425,14080.8,138495.0,1.37,2.95,3.09,3.17,3.15,211.16,3201482.0,0.19
2008-01-18,572.239990234375,575.1199951171875,565.6799926757812,572.3200073242188,276613,14080.8,138495.0,1.37,2.95,3.06,3.14,3.14,211.16,3201482.0,0.19
2008-01-22,555.5999755859375,568.3200073242188,552.7999877929688,564.4000244140625,578038,14080.8,138495.0,1.37,2.92,3.0,3.07,3.07,211.16,3201482.0,0.19
2008-01-23,555.5999755859375,560.6400146484375,549.0399780273438,556.0,663213,14080.8,138495.0,1.37,2.78,2.79,2.86,2.63,211.16,3201482.0,0.19
2008-01-24,558.0,569.3599853515625,552.0800170898438,567.4400024414062,627675,14080.8,138495.0,1.37,2.34,2.3,2.35,2.15,211.16,3201482.0,0.19
