Date,Close_pred,Label,Open,High,Low,Volume,Close,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2019-12-31,137.71072,1,133.9000343649675,134.14579463911213,133.08410845480532,10707400,133.18240356445312,1,0,0,0,52.0,133.18240356445312,6925.4849853515625,1,0.0,0.0,0.0,10000.0,0.0
2020-01-02,138.05621,1,134.47020738388545,135.19766331644652,134.35224723266663,11034100,134.6864776611328,0,0,0,0,52.0,133.18240356445312,6925.4849853515625,2,0.0,0.0,0.0,10078.211853027344,0.007821185302734346
2020-01-03,138.80257,0,135.92509000217896,136.7999959355112,135.54170459319104,12366000,136.7606658935547,0,0,0,0,52.0,133.18240356445312,6925.4849853515625,3,0.0,0.0,0.0,10186.069641113281,0.010702075889934548
2020-01-06,139.3143,-1,137.3210062480677,137.34067126901112,135.80711463575994,11369800,135.98406982421875,0,0,0,1,52.0,133.18240356445312,6925.4849853515625,4,145.6866455078125,0.02,145.6866455078125,10145.686645507812,-0.0039645316621902404
2020-01-07,139.2018,-1,135.87592282314176,136.1216830633804,135.30575726578635,8381200,135.31558227539062,0,0,1,0,-52.0,135.31558227539062,7036.4102783203125,1,0.0,0.0,145.6866455078125,10145.686645507812,0.0
2020-01-08,137.26671,-1,135.5908419916304,135.96440238282534,134.00816033423567,10621700,134.42103576660156,0,0,0,0,-52.0,135.31558227539062,7036.4102783203125,2,0.0,0.0,145.6866455078125,10192.203063964844,0.004584846751365834
2020-01-09,136.18253,1,133.69360236187637,135.10918408100505,133.6051322544354,7411500,134.89291381835938,0,1,0,0,-52.0,135.31558227539062,7036.4102783203125,3,21.978759765625,0.0,167.6654052734375,10167.665405273438,-0.0024074931138451383
2020-01-10,137.2614,1,135.33523268649233,136.12166837037086,135.2959176523043,8776000,136.09217834472656,1,0,0,0,52.0,136.09217834472656,7076.793273925781,1,0.0,0.0,167.6654052734375,10167.665405273438,0.0
2020-01-13,139.11021,0,135.54171139413032,135.7481416247038,135.06001585609758,5966900,135.67933654785156,0,0,0,0,52.0,136.09217834472656,7076.793273925781,2,0.0,0.0,167.6654052734375,10146.197631835938,-0.0021113768580903747
2020-01-14,138.68335,0,135.83662840683235,136.46578918685006,135.79731335809055,13920300,136.37730407714844,0,0,0,0,52.0,136.09217834472656,7076.793273925781,3,0.0,0.0,167.6654052734375,10182.491943359375,0.0035771342960595476
2020-01-15,137.73694,0,137.15389210903348,137.3898123620777,136.66237158183657,6290500,137.28167724609375,0,0,0,0,52.0,136.09217834472656,7076.793273925781,4,0.0,0.0,167.6654052734375,10229.519348144531,0.004618457352753014
2020-01-16,137.73315,0,136.89826113543717,137.16368636060636,136.38709070179394,6798600,136.84912109375,0,0,0,0,52.0,136.09217834472656,7076.793273925781,5,0.0,0.0,167.6654052734375,10207.026428222656,-0.0021988247107578296
2020-01-17,137.5099,1,135.24679606472287,135.79729667960785,135.0305258231585,9693100,135.67933654785156,0,0,0,0,52.0,136.09217834472656,7076.793273925781,6,0.0,0.0,167.6654052734375,10146.197631835938,-0.005959502193364163
2020-01-21,137.5254,1,136.45592563566714,137.2816765169684,136.41661059370728,6794900,137.104736328125,0,0,0,0,52.0,136.09217834472656,7076.793273925781,7,0.0,0.0,167.6654052734375,10220.318420410156,0.007305277431384649
