Date,Open,High,Low,Close,Volume,Label,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-01-08,135.5908419916304,135.96440238282534,134.00816033423567,134.42103576660156,10621700,-1,0,0,1,0,-52.0,134.42103576660156,6989.893859863281,1,0.0,0.0,0.0,10000.0,0.0
2020-01-09,133.69360236187637,135.10918408100505,133.6051322544354,134.89291381835938,7411500,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,2,0.0,0.0,0.0,9975.462341308594,-0.0024537658691405895
2020-01-10,135.33523268649233,136.12166837037086,135.2959176523043,136.09217834472656,8776000,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,3,0.0,0.0,0.0,9913.1005859375,-0.006251515291963217
2020-01-13,135.54171139413032,135.7481416247038,135.06001585609758,135.67933654785156,5966900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,4,0.0,0.0,0.0,9934.568359375,0.0021655962482569624
2020-01-14,135.83662840683235,136.46578918685006,135.79731335809055,136.37730407714844,13920300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,5,0.0,0.0,0.0,9898.274047851562,-0.0036533355260661704
2020-01-15,137.15389210903348,137.3898123620777,136.66237158183657,137.28167724609375,6290500,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,6,0.0,0.0,0.0,9851.246643066406,-0.0047510712026975765
2020-01-16,136.89826113543717,137.16368636060636,136.38709070179394,136.84912109375,6798600,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,7,0.0,0.0,0.0,9873.739562988281,0.002283256194555383
2020-01-17,135.24679606472287,135.79729667960785,135.0305258231585,135.67933654785156,9693100,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,8,0.0,0.0,0.0,9934.568359375,0.006160664457338427
2020-01-21,136.45592563566714,137.2816765169684,136.41661059370728,137.104736328125,6794900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,9,0.0,0.0,0.0,9860.447570800781,-0.007460896728771593
2020-01-22,137.35050577245931,137.76338124071114,137.22270562751814,137.58644104003906,6317000,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,10,0.0,0.0,0.0,9835.39892578125,-0.0025403152179123145
2020-01-23,138.46131934606504,138.98232983277612,138.39249928177557,138.54978942871094,9747400,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,11,0.0,0.0,0.0,9785.304809570312,-0.005093247014071545
2020-01-24,139.02167570021135,140.1325169842732,138.9037155638569,139.6704864501953,8585000,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,12,0.0,0.0,0.0,9727.028564453125,-0.005955485930309701
2020-01-27,141.50875670224048,141.84298706054688,141.0663912280095,141.84298706054688,10935200,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,13,0.0,0.0,0.0,9614.058532714844,-0.011614033102680943
2020-01-28,141.4891086365378,141.64639882400715,140.39794733601602,140.732177734375,10612900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,14,0.0,0.0,0.0,9671.820617675781,0.0060080854266055805
2020-01-29,141.0073973649396,142.24602357157002,140.9975573553538,142.1083984375,9566800,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,15,0.0,0.0,0.0,9600.257141113281,-0.00739917326751427
2020-01-30,142.44263233092016,143.19957808727227,141.84297673173486,142.12806701660156,14711800,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,16,0.0,0.0,0.0,9599.234375,-0.00010653528319581884
2020-01-31,142.70805871579338,143.5141595275865,142.62941363659294,143.42567443847656,14538100,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,17,0.0,0.0,0.0,9531.7587890625,-0.007029267470875733
2020-02-03,142.72852457841532,143.52610828924136,141.9112431762907,143.30947875976562,15310700,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,18,0.0,0.0,0.0,9537.800964355469,0.0006338993072194654
2020-02-04,141.7832672147457,141.93096235950932,140.8675122423961,141.37954711914062,11388300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,19,0.0,0.0,0.0,9638.157409667969,0.010521968920042646
2020-02-05,140.11915159869346,140.51301529664195,139.725272875808,139.83358764648438,10782600,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,20,0.0,0.0,0.0,9718.547302246094,0.00834079473504823
2020-02-06,140.0009927441733,140.6902768134227,139.82375857203826,140.4637908935547,6683100,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,21,0.0,0.0,0.0,9685.776733398438,-0.0033719616552241316
2020-02-07,142.0097185250688,142.52175333119115,141.66507653490373,142.21649169921875,11374800,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,22,0.0,0.0,0.0,9594.636291503906,-0.00940971946836866
2020-02-10,142.87626363792145,143.02395879020762,142.46268716164184,142.6103973388672,6699300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,23,0.0,0.0,0.0,9574.153198242188,-0.002134848329775285
