Date,Close_pred,Label,Open,High,Low,Volume,Close,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2019-12-24,,0,133.61493692509748,134.7356031154633,133.5854468937733,4667400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2019-12-26,,0,134.58814947634292,134.8928897921513,134.1949240688357,5290200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2019-12-27,,0,135.1091405251491,135.29592069176778,134.9616753936017,7300500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2019-12-30,,0,133.58545877183062,134.5783249147308,133.35936351156963,7979700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2019-12-31,,0,133.9000343649675,134.14579463911213,133.08410845480532,10707400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-02,,0,134.47020738388545,135.19766331644652,134.35224723266663,11034100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-03,,0,135.92509000217896,136.7999959355112,135.54170459319104,12366000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-06,,0,137.3210062480677,137.34067126901112,135.80711463575994,11369800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-07,,0,135.87592282314176,136.1216830633804,135.30575726578635,8381200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-08,,0,135.5908419916304,135.96440238282534,134.00816033423567,10621700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-09,,0,133.69360236187637,135.10918408100505,133.6051322544354,7411500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-10,,0,135.33523268649233,136.12166837037086,135.2959176523043,8776000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-13,,0,135.54171139413032,135.7481416247038,135.06001585609758,5966900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-14,,0,135.83662840683235,136.46578918685006,135.79731335809055,13920300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-15,,0,137.15389210903348,137.3898123620777,136.66237158183657,6290500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-16,,0,136.89826113543717,137.16368636060636,136.38709070179394,6798600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-17,,0,135.24679606472287,135.79729667960785,135.0305258231585,9693100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-21,,0,136.45592563566714,137.2816765169684,136.41661059370728,6794900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-22,,0,137.35050577245931,137.76338124071114,137.22270562751814,6317000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-23,,0,138.46131934606504,138.98232983277612,138.39249928177557,9747400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-24,,0,139.02167570021135,140.1325169842732,138.9037155638569,8585000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-27,,0,141.50875670224048,141.84298706054688,141.0663912280095,10935200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-28,,0,141.4891086365378,141.64639882400715,140.39794733601602,10612900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-29,,0,141.0073973649396,142.24602357157002,140.9975573553538,9566800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-30,,0,142.44263233092016,143.19957808727227,141.84297673173486,14711800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-01-31,,0,142.70805871579338,143.5141595275865,142.62941363659294,14538100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-03,,0,142.72852457841532,143.52610828924136,141.9112431762907,15310700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-04,,0,141.7832672147457,141.93096235950932,140.8675122423961,11388300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-05,,0,140.11915159869346,140.51301529664195,139.725272875808,10782600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-06,,0,140.0009927441733,140.6902768134227,139.82375857203826,6683100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-07,,0,142.0097185250688,142.52175333119115,141.66507653490373,11374800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-10,,0,142.87626363792145,143.02395879020762,142.46268716164184,6699300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-11,,0,142.3740365198639,142.5020489716386,141.73400431086174,7784100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-12,,0,141.1727294921875,141.34997865392995,140.79856352839394,5595500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-13,,0,141.24167028125913,141.9900172676163,141.07427746950566,7883400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-14,,0,142.54142892560964,142.85653187526225,142.2361823337184,7137400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-18,,0,143.11254692158846,143.81167222579398,142.69898555393553,6909200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-19,,0,142.8959168079989,143.3882539138974,142.75806301934475,5707700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-20,,0,143.84122593512092,144.68804644817777,143.76245018682056,9332900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-21,,0,145.53488221327888,146.59833238937685,145.38717203538403,13860300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-24,,0,148.5184089722772,148.64642142417364,147.7011275965838,15929300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-25,,0,147.90790846034062,149.43414134996277,147.83897405890738,20802900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-26,,0,147.65189088239782,149.3947683950195,147.28756624230567,22589500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-27,,0,150.35976276035106,150.73394380271762,148.51842662542876,30687900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-02-28,,0,152.08294329126585,153.5894937748213,151.79739435399676,45010800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-02,,0,153.1457464575823,154.32909755078302,151.62710026615554,28152400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-03,,0,151.6764205001448,157.48471669902864,150.24653720038253,38608000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-04,,0,154.24034389996913,155.16730698694997,152.05113768730698,23463700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-05,,0,154.95034246438863,156.61690167602265,154.63477419010653,17786200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-06,,0,164.97929666759018,166.98113626553,161.83354442879147,76288300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-09,,0,176.61558457587165,177.20725252768793,167.9770910363908,41552800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-10,,0,167.2868542612144,170.53121071816955,159.7824150510518,37728300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-11,,0,163.13520960074834,164.71302101715247,153.4711635784288,29519300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-12,,0,161.24182622579207,164.0522977830295,153.5007284202598,24361800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-13,,0,152.84990492250074,156.00551285341115,150.07888647305873,19812900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-16,,0,158.15528970693398,163.84524017632006,155.62093230241993,30496700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-17,,0,161.2320008773455,163.3324592818371,150.59168156862185,18570900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-18,,0,150.71986150248023,152.00183143579906,137.08170388340122,47061000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-19,,0,144.91154634938306,151.32138010802376,143.23513129885555,21175300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-20,,0,151.1734879167851,157.21844482421875,149.9999927040281,20863100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-23,,0,155.31523463237716,164.37775771465735,154.3981423743114,19971800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-24,,0,159.01320028998347,163.15493645090226,158.1848560672247,11948600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-25,,0,161.32074670169968,164.36787994757637,159.3780724854189,10750600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-26,,0,161.72505182327305,163.38174025347695,160.0190539654054,10576200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-27,,0,163.22398078108128,165.91610716255943,162.3068735232257,12550000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-30,,0,165.9653929452299,167.75028272891893,163.63812959677037,13473200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-03-31,,0,163.40147965612073,164.60455755785074,162.27729383532184,11464800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-01,,0,166.38294006393812,166.85697639580874,164.32882783242476,11334700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-02,,0,166.72861533446743,167.11376049535204,165.17814951445337,5771200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-03,,0,166.45204484350123,168.20988780563945,166.04714453667376,6570800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-06,,0,164.9213511373727,166.17554766769902,164.45720002147704,9434800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-07,,0,162.9067697126933,164.34858883293293,161.67232830960776,13811400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-08,,0,163.05489627289634,164.12145545093634,162.08709843441855,10147100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-09,,0,162.2352211023811,163.72642084976496,161.74144455530327,14260800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-13,,0,162.69936101262192,163.64741854776014,161.84019470214844,8750300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-14,,0,161.8007049560547,162.68951183499178,161.4451852182529,9019100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-15,,0,164.7238720505695,166.5014707733728,164.664621271287,10027800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-16,,0,167.15321433855777,168.20003317003568,166.9162112640715,8265400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-17,,0,167.70627432997318,168.71356764031813,165.188010916382,8612100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-20,,0,166.34344968493957,167.18286079431437,165.86942840735944,6462600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-21,,0,169.78999234737086,170.00725522860668,168.65431234270866,7850700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-22,,0,167.85441950802877,168.2691900459851,166.61010789415977,6230200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-23,,0,167.75563001484215,168.80243382580016,167.498871649337,5968600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-24,,0,167.4988456631635,168.71353149414062,167.45935017800687,6211800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-27,,0,167.54827220724937,167.63714837483798,165.35590299353902,9039500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-28,,0,166.4520773867625,167.7358994256608,166.3533160495917,9905400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-29,,0,167.41984721324698,168.14075663370903,165.86939694714135,8619600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-04-30,,0,166.63974892999244,167.12364040193924,164.63501694055364,11606100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-01,,0,165.62970420661972,166.23289358368473,164.5815425225026,10209400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-04,,0,165.6890456860911,165.8077009543143,164.62110300684807,8300900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-05,,0,163.72127548587332,164.4134563648535,163.42462222676423,7831800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-06,,0,161.40737495292342,161.8128005275992,160.24055803662918,14721500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-07,,0,161.73368803889832,164.51230918902922,161.51614334992493,9164800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-08,,0,162.65331709348638,163.55314460502964,161.85234884474357,8130500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-11,,0,161.83260347977262,162.38634819944554,160.29002459256606,8713500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-12,,0,161.33815677761632,163.0883820691886,161.30849296510894,10057300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-13,,0,163.24660748312724,164.43320530938016,162.9895160654356,13305600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-14,,0,165.45172539724652,166.27244440529557,165.18473597107032,10080000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-15,,0,166.4207530661691,166.60863392659616,164.4727490213334,7225600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-18,,0,163.08838302038808,163.21693626760933,160.60641513286973,10074000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-19,,0,160.70529522605946,161.87211202608918,160.66573341917902,8639100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-20,,0,161.34805498090464,162.86096991583713,161.0612997366801,10927300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-21,,0,163.0191721354721,163.5135891302917,162.45552951894123,8920000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-22,,0,162.88072781114653,163.82999994408016,162.77195547420533,4956700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-26,,0,161.88203313928673,161.96112658752554,161.16017340051485,8098900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-27,,0,160.97226915105597,162.07977341501143,160.77450538233805,8047400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-28,,0,160.15156438256466,160.75475373779057,159.85491115913376,10272600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-05-29,,0,160.8932029518684,162.25778374891752,160.53722207254884,14662100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-01,,0,160.49602846191968,160.83266054007146,160.07027545077187,13341400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-02,,0,160.0702815594474,160.48612386735215,159.65443925154267,11517100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-03,,0,158.59501610078266,158.74354091963446,157.36729553530876,12255700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-04,,0,157.34752035782324,157.43662620209415,155.63464255078654,14038600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-05,,0,153.08014996861078,154.61481589370104,151.64450059654757,17778500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-08,,0,153.5356062796863,155.29799216250274,153.51579994734988,10346700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-09,,0,157.47619402107998,158.06035231089248,156.7336153147006,9095300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-10,,0,157.66431528975957,159.30787799994596,157.47619293485934,13135500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-11,,0,161.63465182625018,162.60495055955485,161.02079152058047,17086400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-12,,0,160.80297344496674,162.04060482403125,160.44653500348397,9716100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-15,,0,162.26831491331916,162.59505139048665,160.53563108785173,7759800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-16,,0,157.8326529840401,159.63463635708828,157.12967173624045,13698900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-17,,0,158.68414387718792,159.1791964124316,157.7633383055764,7113900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-18,,0,160.43660989230065,160.87225851590247,160.01087198783748,7691400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-19,,0,159.40691194300226,160.89206950768863,159.31780611499406,8565500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-22,,0,161.57524397981777,161.8029639089524,160.46633116893187,9319700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-23,,0,159.88214535759616,160.4564080496563,159.52570696624167,9088600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-24,,0,159.9316516543432,161.47621296189035,159.92175604363422,11436500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-25,,0,162.5851681712824,162.72378228357294,161.78317033466726,10968000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-26,,0,162.62473272880518,163.6841522424669,162.55541813282264,12119300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-29,,0,163.21882898679087,163.63467130874264,162.7534783891248,7274400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-06-30,,0,163.59506201937853,163.65446590833912,161.86237808827198,14841700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-01,,0,161.38801816331588,162.1314676777041,160.73377896052963,13181000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-02,,0,161.2789829290494,162.3099080889059,160.8230090174171,7599800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-06,,0,160.91224215035885,161.59621824032067,160.33730594612314,7972700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-07,,0,161.99269984389792,163.8959288891048,161.7746200977838,12791900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-08,,0,162.8848517787095,163.47960235962347,162.3991259476042,7253900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-09,,0,163.22188833932495,165.98751425022385,163.1624147902443,13373100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-10,,0,166.48311961957933,166.74085845672943,164.70876015671294,8478000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-13,,0,164.05453334513462,165.50178845162554,163.78688727311183,8054000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-14,,0,166.4632929168084,166.67146543303343,165.52159323740312,11344600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-15,,0,164.47087706515478,165.49187998509515,164.3816667421746,7840300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-16,,0,165.93793429361648,166.30471302536915,165.58107790291004,9107400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-17,,0,165.80909010760035,165.93794441938508,165.0160741770262,8549900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-20,,0,166.0469335280553,166.155973374238,165.3431432599347,6907200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-21,,0,165.8388255398136,166.25515549675458,165.62074578253203,8455100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-22,,0,166.7904201794671,166.98868548994415,166.2254063960623,6592100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-23,,0,167.4446424659347,168.3962644332024,167.0084830278336,10471800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-24,,0,167.53385701320428,168.435912680706,167.39508038170544,7520700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-27,,0,168.7630228905295,168.81258921163612,167.5140332764379,6146400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-28,,0,168.0592281130897,168.85224392464292,167.95018824993213,8520700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-29,,0,168.56479886172303,168.9018256966641,167.50413690258972,6733700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-30,,0,169.55605075262676,169.76420814040577,169.25866793028095,9376100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-07-31,,0,168.66391802312836,169.962489297687,168.4557606159268,8886000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-03,,0,167.94847240664967,168.69274887921264,167.6805286366708,9066200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-04,,0,169.5263381594829,170.27061464638098,169.41717700237743,9878900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-05,,0,168.7622223834013,169.2584067442333,168.39505080193604,6954100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-06,,0,170.072127552549,170.9354833485859,169.3179177607536,9481800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-07,,0,169.97292844009968,170.19125078952644,168.2859044928127,8176900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-10,,0,168.92098775997775,168.95075760719948,167.77976990356254,6408500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-11,,0,165.89424122563346,166.2118064156759,164.61409251633643,19234200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-12,,0,164.4354856223055,164.8026723270705,163.7309123461821,11745800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-13,,0,164.0484590746317,164.31640284993227,161.92479076976676,12744700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-14,,0,162.5599047312578,162.8973064351844,161.91487117126033,6398100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-17,,0,162.71867288895132,163.20493893129057,162.18278539048077,6901500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-18,,0,163.10569840034665,163.61180091865353,162.83775464719943,8140600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-19,,0,164.10801391531427,164.34618786448812,162.05381849469157,12497700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-20,,0,164.1278683757966,164.38587880178292,163.67137208421792,10319900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-21,,0,164.5049598796546,165.06068391618027,163.75074999378893,6836000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-24,,0,165.05078042080126,165.6958140617292,164.59428412583307,6490600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-25,,0,163.0957800322602,163.8301230806908,162.57974413759948,10518300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-26,,0,162.79809563330986,163.07595767050103,162.03396745986143,8276600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-27,,0,163.50264811870628,163.5622029553796,159.93013017782062,19860100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-28,,0,160.5354600014883,160.81332197618772,159.4140787263744,8415400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-08-31,,0,160.36677665032832,162.0041788327417,160.3270734254195,11388100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-01,,0,160.7068635212276,163.00183710667577,160.13063776535057,10587600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-02,,0,162.4454793181698,164.48213603356456,162.42562044093836,15167700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-03,,0,164.67089436795325,166.1511992679381,164.36291503024276,16416600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-04,,0,163.33965279020703,163.62775814641017,161.39240621774485,13780300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-08,,0,163.29989944187318,164.1841046809699,162.67401123046875,13790400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-09,,0,162.87269494951826,163.18067431418848,161.70036928462162,9558900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-10,,0,161.40233649278267,163.28003133983793,160.89564706520562,8847700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-11,,0,163.24027301660402,163.49859001348958,163.0117746542768,5458200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-14,,0,163.7171703137951,164.0052908324906,163.16081847563214,4274900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-15,,0,163.10120144611838,163.39925138657614,162.72367051090862,6928500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-16,,0,163.70722976107433,163.81651423325593,161.91894528876145,8815200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-17,,0,163.82643339622234,163.88605550776745,162.73360390240697,7813900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-18,,0,163.10119639735,163.17074795039875,162.27659815670376,7246300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-21,,0,163.81651205386947,164.3231863311801,163.0713947969395,11086900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-22,,0,163.36945295771187,163.8065908626338,162.80315653739476,10524100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-23,,0,163.23033246457956,163.45883081134957,162.41566377517333,6224800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-24,,0,163.8860665978708,164.04501342773438,163.54826858071775,8278100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-25,,0,164.0350839881959,164.34306336783425,163.6376941743625,5140300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-28,,0,163.79664817864958,163.82645165802,163.29990330987516,4470100,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-29,,0,163.72711278353765,164.16425069625072,163.48866978766222,10297600,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-09-30,,0,162.93228549956086,162.93228549956086,161.49172869014325,12971000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-01,,0,161.61929805673003,162.84256751049926,161.2115567472979,11523900,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-02,,0,162.71328883807814,162.7729575627565,161.2911184742223,8828800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-05,,0,160.0678453438478,160.0678453438478,158.64569032173,14726000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-06,,0,158.45674296182827,160.52534467974607,157.81029638895237,22419400,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-07,,0,158.68545897311046,159.5407459727275,157.98929866531904,9429200,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-08,,0,159.09322932090876,159.37169346833846,158.78493081305143,8431500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-09,,0,158.6457021549425,159.3915915320076,157.9395868675846,8441500,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-12,,0,159.55070598162578,159.7993357785243,159.23246773267817,3962000,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-13,,0,160.32643071877004,160.94302770445324,160.29658118463834,7914300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-14,,0,161.4402857397305,161.8579819366126,161.0822582602377,6956700,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-15,,0,162.14639233348527,162.29557930813075,160.754071621073,9458800,,0,0,0,0,0,,,0,0,0,0,10000,0.0
2020-10-16,,0,160.7739718112149,161.43035810197026,160.2170435069951,8416300,,0,0,0,0,0,,,0,0,0,0,10000,0.0
